as.character(comp),Name,Protein_Classification,
Compound_61,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_61,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_61,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_70,Lysine-specific demethylase 4A,Oxidoreductases,O=C(O)C1=CC=C(N=C(C2=CC=CO2)C(C3=CC=CO3)=N4)C4=C1
Compound_70,DNA-(apurinic or apyrimidinic site) lyase,Lyases,O=C(O)C1=CC=C(N=C(C2=CC=CO2)C(C3=CC=CO3)=N4)C4=C1
Compound_70,Protein-tyrosine phosphatase LC-PTP,Phosphatase,O=C(O)C1=CC=C(N=C(C2=CC=CO2)C(C3=CC=CO3)=N4)C4=C1
Compound_70,Bloom syndrome protein,Hydrolases,O=C(O)C1=CC=C(N=C(C2=CC=CO2)C(C3=CC=CO3)=N4)C4=C1
Compound_77,Aldo-keto reductase family 1 member B10,Oxidoreductases,OC1=CC(/C=C/C(O)=O)=CC=C1
Compound_94,Urokinase-type plasminogen activator,Protease,NC(C1=CC=CC=C1)=N.Cl
Compound_98,Monoamine oxidase B,Oxidoreductases,ClC1=CC=C2C(NC(C2=O)=O)=C1
Compound_98,Acyl coenzyme A:cholesterol acyltransferase,Lipase,ClC1=CC=C2C(NC(C2=O)=O)=C1
Compound_98,Monoamine oxidase B,Oxidoreductases,ClC1=CC=C2C(NC(C2=O)=O)=C1
Compound_111,Cyclooxygenase-2,Oxidoreductases,ClC1=CC=CC(Cl)=C1NC2=CC=CC=C2CC(O[Na])=O
Compound_111,Interleukin-8,Other,ClC1=CC=CC(Cl)=C1NC2=CC=CC=C2CC(O[Na])=O
Compound_169,Caspase-3,Protease,O=C(NCC1=CC=CC=C1)N2SC3=C(C=CC=C3)C2=O
Compound_169,Caspase-3,Protease,O=C(NCC1=CC=CC=C1)N2SC3=C(C=CC=C3)C2=O
Compound_169,Caspase-3,Protease,O=C(NCC1=CC=CC=C1)N2SC3=C(C=CC=C3)C2=O
Compound_189,Cytochrome P450 1B1,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Cytochrome P450 1B1,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Carbonic anhydrase XII,Lyases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Cytochrome P450 1B1,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Arachidonate 5-lipoxygenase,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Lysine-specific demethylase 4D-like,Other,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Xanthine dehydrogenase,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Cytochrome P450 19A1,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,ATP-dependent DNA helicase Q1,Hydrolases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Carbonic anhydrase XII,Lyases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Aldose reductase,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Aldose reductase,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Carbonic anhydrase VII,Lyases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Cytochrome P450 1B1,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Carbonic anhydrase II,Lyases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Death-associated protein kinase 1,Kinase,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Carbonic anhydrase VII,Lyases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,DNA polymerase eta,Transferases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_189,Xanthine dehydrogenase,Oxidoreductases,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC(O)=C(C=C3)O)=C1O.O
Compound_194,DNA polymerase kappa,Transferases,O[C@@]1([H])[C@](C2=CC(O)=C(C=C2)O)([H])OC(C=C(C=C3O)O)=C3C1
Compound_194,Lysine-specific demethylase 4D-like,Other,O[C@@]1([H])[C@](C2=CC(O)=C(C=C2)O)([H])OC(C=C(C=C3O)O)=C3C1
Compound_194,Cyclooxygenase-1,Oxidoreductases,O[C@@]1([H])[C@](C2=CC(O)=C(C=C2)O)([H])OC(C=C(C=C3O)O)=C3C1
Compound_194,DNA-(apurinic or apyrimidinic site) lyase,Lyases,O[C@@]1([H])[C@](C2=CC(O)=C(C=C2)O)([H])OC(C=C(C=C3O)O)=C3C1
Compound_201,Estrogen receptor alpha,NHR,CC(C1=CC=C(O)C=C1)(C)C2=CC=C(O)C=C2
Compound_220,Acetylcholinesterase,Lipase,COC1=CC=C(C=C1OC)CCNC2=C3C(C=CC=C3)=NC4=C2CCCC4
Compound_223,Carbonic anhydrase IX,Lyases,BrC(C=CC=C1)=C1C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_233,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_233,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC(OC)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_243,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=C(Cl)C=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_269,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=C(C)C=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_269,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=C(C)C=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_269,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=C(C)C=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_287,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCCCC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_287,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCCCC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_289,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CS4)=N2)(N)=O
Compound_289,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CS4)=N2)(N)=O
Compound_299,Cytochrome P450 2D6,Oxidoreductases,ClC1=CC2=C(C=C1)SC(C=CC=C3)=C3N2CCCN(C)C
Compound_299,Histamine H1 receptor,GPCR,ClC1=CC2=C(C=C1)SC(C=CC=C3)=C3N2CCCN(C)C
Compound_299,Cytochrome P450 2D6,Oxidoreductases,ClC1=CC2=C(C=C1)SC(C=CC=C3)=C3N2CCCN(C)C
Compound_299,Cytochrome P450 2D6,Oxidoreductases,ClC1=CC2=C(C=C1)SC(C=CC=C3)=C3N2CCCN(C)C
Compound_300,Carbonic anhydrase XII,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase IX,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase I,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase IX,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase XII,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase I,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Cyclooxygenase-2,Oxidoreductases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase XII,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Carbonic anhydrase I,Lyases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_300,Cyclooxygenase-2,Oxidoreductases,CC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_301,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Carbonic anhydrase II,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Carbonic anhydrase II,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_301,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC(Cl)=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Geminin,Other,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_304,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=C(OC)C=C4)=N2)(N)=O
Compound_307,Carbonic anhydrase IX,Lyases,CC1=CC=CC(C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2)=C1
Compound_313,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_313,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_313,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_315,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_315,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_315,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_320,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OCC)=O)=CC=C2)=O)=C1
Compound_328,P-glycoprotein 1,Transporter,CC(C=C1)=CC=C1C2=NN3C(N=C(C4=CC=CC=C4)C=C3N5CCN(C(C6=CC=CO6)=O)CC5)=C2
Compound_343,Cyclooxygenase-2,Oxidoreductases,CC1=NN(C2=CC=C(S(=O)(N)=O)C=C2)C(C3=CC=C(OC)C=C3)C1
Compound_349,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_349,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_349,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_349,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_349,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_366,Lysine-specific demethylase 4A,Oxidoreductases,CC(C)N1C(S)=NN=C1C2=CC=CO2
Compound_371,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_371,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_371,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_371,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_371,Geminin,Other,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_371,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=CC=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_375,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=NC=CC=C1)NC2=NC3=C(S2)C=CC=C3
Compound_375,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=NC=CC=C1)NC2=NC3=C(S2)C=CC=C3
Compound_378,Histamine H1 receptor,GPCR,OC(C1=CC=CC=C1)(C2CCN(CCCC(O)C3=CC=C(C(C)(C)C)C=C3)CC2)C4=CC=CC=C4
Compound_382,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC(OC)=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_382,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1C2CC(C3=CC=CC(OC)=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4
Compound_398,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCC(C)CC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_398,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCC(C)CC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_409,Carbonic anhydrase XII,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase IX,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase I,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase I,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase IX,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase XII,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase I,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Cyclooxygenase-2,Oxidoreductases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase XII,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Carbonic anhydrase I,Lyases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Geminin,Other,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_409,Cyclooxygenase-2,Oxidoreductases,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_413,Dihydroorotate dehydrogenase,Oxidoreductases,O=C(O)C1=CC(C2=CC=CC(OC)=C2)=NC3=CC=CC=C31
Compound_413,Dihydroorotate dehydrogenase,Oxidoreductases,O=C(O)C1=CC(C2=CC=CC(OC)=C2)=NC3=CC=CC=C31
Compound_413,Dihydroorotate dehydrogenase,Oxidoreductases,O=C(O)C1=CC(C2=CC=CC(OC)=C2)=NC3=CC=CC=C31
Compound_421,Carbonic anhydrase IX,Lyases,ClC(C=CC=C1)=C1C2=NN(C3=CC=C(S(=O)(N)=O)C=C3)C(C4=CC=C(OC)C=C4)C2
Compound_423,Histamine H1 receptor,GPCR,OC(C1CCN(CCC[C@@H](O)C2=CC=C(C(C)(C)C)C=C2)CC1)(C3=CC=CC=C3)C4=CC=CC=C4
Compound_444,Arachidonate 5-lipoxygenase,Oxidoreductases,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
Compound_444,Nuclear factor NF-kappa-B p100/p49 subunits,Other,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
Compound_444,Arachidonate 5-lipoxygenase,Oxidoreductases,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
Compound_444,Microtubule-associated protein tau,Other,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
Compound_444,Transitional endoplasmic reticulum ATPase,Transporter,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
Compound_444,Nuclear factor NF-kappa-B p100/p49 subunits,Other,OC(C=C1)=CC=C1NC2=NC(C3=CC=C(Cl)C=C3)=CS2
